equipo,nombre,wiki_link,nacionalidad
Alianza,"Johan Wallens","{{bandera|COL}} [[Johan Wallens]]",COL
Alianza,"Juan Chaverra","{{bandera|COL}} [[Juan Camilo Chaverra|Juan Chaverra]]",COL
Alianza,"Antonio Simancas","{{bandera|COL}} [[Antonio Simancas]]",COL
Alianza,"Kevin Moreno","{{bandera|COL}} [[Kevin Moreno]]",COL
Alianza,"Kevin Aponzá","{{bandera|COL}} [[Kevin Aponzá]]",COL
Alianza,"Pedro Franco","{{bandera|COL}} [[Pedro Camilo Franco|Pedro Franco]]",COL
Alianza,"Yilson Rosales","{{bandera|COL}} [[Yilson Rosales]]",COL
Alianza,"Juan Viveros","{{bandera|COL}} [[Juan José Viveros|Juan Viveros]]",COL
Alianza,"Eduard Banguero","{{bandera|COL}} [[Eduard Banguero]]",COL
Alianza,"Jesús Figueroa","{{bandera|COL}} [[Jesús Figueroa (futbolista)|Jesús Figueroa]]",COL
Alianza,"Juan Arcila","{{bandera|COL}} [[Juan Pablo Arcila|Juan Arcila]]",COL
Alianza,"Ever Meza","{{bandera|COL}} [[Ever Meza]]",COL
Alianza,"Jair Castillo","{{bandera|COL}} [[Jair Castillo]]",COL
Alianza,"Wiston Fernández","{{bandera|URU}} [[Wiston Fernández]]",URU
Alianza,"Sergio Aponzá","{{bandera|COL}} [[Sergio Aponzá]]",COL
Alianza,"Charly Villegas","{{bandera|COL}} [[Charly Villegas]]",COL
Alianza,"Carlos Esparragoza","{{bandera|COL}} [[Carlos Esparragoza]]",COL
Alianza,"Luis Pérez","{{bandera|COL}} [[Luis Felipe Pérez|Luis Pérez]]",COL
Alianza,"Josy Pérez","{{bandera|COL}} [[Josy Pérez]]",COL
Alianza,"Yeiner Londoño","{{bandera|COL}} [[Yeiner Londoño]]",COL
Alianza,"Jhair Castillo","{{bandera|COL}} [[Jair Castillo]]",COL
Alianza,"Jesús Muñoz","{{bandera|COL}} [[Jesús Muñoz]]",COL
Alianza,"Cristian Vergara","{{bandera|COL}} [[Cristian Andrés Vergara|Cristian Vergara]]",COL
Alianza,"Felipe Pardo","{{bandera|COL}} [[Felipe Pardo]]",COL
Alianza,"Jeison Osorio","{{bandera|COL}} [[Jeison Osorio Cabrales|Jeison Osorio]]",COL
Alianza,"Carlos Lucumí","{{bandera|COL}} [[Carlos Lucumí]]",COL
Alianza,"Jhon Valoyes","{{bandera|COL}} [[Jhon Valoyes]]",COL
Alianza,"Sebastián Ramírez","{{bandera|COL}} [[Juan Sebastian Ramírez|Sebastián Ramírez]]",COL
Alianza,"Francesco Fiorelli","{{bandera|URU}} [[Francesco Fiorelli]]",URU
"América de Cali","Jean Fernandes","{{bandera|BRA}} [[Jean Paulo Fernandes Filho|Jean Fernandes]]",BRA
"América de Cali","Jorge Soto","{{bandera|COL}} [[Jorge Iván Soto|Jorge Soto]]",COL
"América de Cali","Alexis Sinisterra","{{bandera|COL}} [[Alexis Sinisterra]]",COL
"América de Cali","Jhon Palacios","{{bandera|COL}} [[Jhon Alexander Palacios Santos|Jhon Palacios]]",COL
"América de Cali","Marlon Torres","{{bandera|COL}} [[Marlon Torres]]",COL
"América de Cali","Dany Rosero","{{bandera|COL}} [[Dany Rosero]]",COL
"América de Cali","Andrés Mosquera","{{bandera|COL}} [[Andrés Mosquera Guardia|Andrés Mosquera]]",COL
"América de Cali","Mateo Castillo","{{bandera|COL}} [[Mateo Castillo]]",COL
"América de Cali","Marcos Mina","{{bandera|COL}} [[Marcos Mina]]",COL
"América de Cali","Brayan Correa","{{bandera|COL}} [[Brayan Correa (futbolista)|Brayan Correa]]",COL
"América de Cali","Nicolás Hernández","{{bandera|COL}} [[Nicolás Hernández Rodríguez|Nicolás Hernández]]",COL
"América de Cali","Ómar Bertel","{{bandera|COL}} [[Ómar Bertel]]",COL
"América de Cali","Josen Escobar","{{bandera|COL}} [[Josen Escobar]]",COL
"América de Cali","Dylan Borrero","{{bandera|COL}} [[Dylan Borrero]]",COL
"América de Cali","Yeison Guzmán","{{bandera|COL}} [[Yeison Guzmán]]",COL
"América de Cali","Darwin Machís","{{bandera|VEN}} [[Darwin Machís]]",VEN
"América de Cali","Rafael Carrascal","{{bandera|COL}} [[Rafael Carrascal]]",COL
"América de Cali","Jan Lucumí","{{bandera|COL}} [[Jan Lucumí]]",COL
"América de Cali","Carlos Sierra","{{bandera|COL}} [[Carlos José Sierra|Carlos Sierra]]",COL
"América de Cali","Joel Romero","{{bandera|COL}} [[Joel Romero]]",COL
"América de Cali","José Cavadía","{{bandera|COL}} [[José Cavadía]]",COL
"América de Cali","Jhon Murillo","{{bandera|VEN}} [[Jhon Murillo]]",VEN
"América de Cali","Yojan Garcés","{{bandera|COL}} [[Yojan Garcés]]",COL
"América de Cali","Jhon Tilman Palacios","{{bandera|COL}} [[Jhon Tilman Palacios]]",COL
"América de Cali","Adrián Ramos","{{bandera|COL}} [[Adrián Ramos]]",COL
"América de Cali","Kevin Angulo","{{bandera|COL}} [[Kevin Angulo]]",COL
"América de Cali","Rodrigo Holgado","{{bandera|MYS}} [[Rodrigo Holgado]]",MYS
"Atlético Bucaramanga","Aldair Quintana","{{bandera|COL}} [[Aldair Quintana]]",COL
"Atlético Bucaramanga","Luis Vásquez","{{bandera|COL}} [[Luis Erney Vásquez|Luis Vásquez]]",COL
"Atlético Bucaramanga","Jefferson Mena","{{bandera|COL}} [[Jefferson Mena]]",COL
"Atlético Bucaramanga","Martín Rea","{{bandera|URU}} [[Martín Rea]]",URU
"Atlético Bucaramanga","José García","{{bandera|COL}} [[José García Aragón|José García]]",COL
"Atlético Bucaramanga","Fredy Hinestroza","{{bandera|COL}} [[Fredy Hinestroza]]",COL
"Atlético Bucaramanga","Israel Alba","{{bandera|COL}} [[Israel Alba]]",COL
"Atlético Bucaramanga","Aldair Gutiérrez","{{bandera|COL}} [[Aldair Gutiérrez]]",COL
"Atlético Bucaramanga","Carlos Romaña","{{bandera|COL}} [[Carlos Romaña]]",COL
"Atlético Bucaramanga","Carlos de las Salas","{{bandera|COL}} [[Carlos de las Salas]]",COL
"Atlético Bucaramanga","Gustavo Charrupí","{{bandera|COL}} [[Gustavo Charrupí]]",COL
"Atlético Bucaramanga","Kevin Londoño","{{bandera|COL}} [[Kevin Londoño]]",COL
"Atlético Bucaramanga","Fabián Sambueza","{{bandera|ARG}} [[Fabián Sambueza]]",ARG
"Atlético Bucaramanga","Juan Camilo Mosquera","{{bandera|COL}} [[Juan Camilo Mosquera]]",COL
"Atlético Bucaramanga","Aldair Zárate","{{bandera|COL}} [[Aldair Zárate]]",COL
"Atlético Bucaramanga","Félix Charrupí","{{bandera|COL}} [[Félix Charrupí]]",COL
"Atlético Bucaramanga","Fabry Castro","{{bandera|COL}} [[Fabry Castro]]",COL
"Atlético Bucaramanga","Leonardo Flores","{{bandera|VEN}} [[Leonardo Flores (futbolista venezolano)|Leonardo Flores]]",VEN
"Atlético Bucaramanga","Faber Gil","{{bandera|COL}} [[Faber Gil]]",COL
"Atlético Bucaramanga","Jhon Fredy Salazar","{{bandera|COL}} [[Jhon Fredy Salazar]]",COL
"Atlético Bucaramanga","Luciano Pons","{{bandera|ARG}} [[Luciano Pons]]",ARG
"Atlético Bucaramanga","Brandon Caicedo","{{bandera|COL}} [[Brandon Caicedo]]",COL
"Atlético Bucaramanga","Gleyfer Medina","{{bandera|COL}} [[Gleyfer Medina]]",COL
"Atlético Bucaramanga","Emerson Batalla","{{bandera|COL}} [[Emerson Batalla]]",COL
"Atlético Nacional","David Ospina","{{bandera|COL}} [[David Ospina]]",COL
"Atlético Nacional","Harlen Castillo","{{bandera|COL}} [[Harlen Castillo]]",COL
"Atlético Nacional","Luis Marquinez","{{bandera|COL}} [[Luis Marquinez]]",COL
"Atlético Nacional","Mateo Valencia","{{bandera|COL}} [[Mateo Valencia]]",COL
"Atlético Nacional","Kevin Cataño","{{bandera|COL}} [[Kevin Cataño Jiménez|Kevin Cataño]]",COL
"Atlético Nacional","César Haydar","{{bandera|COL}} [[César Haydar]]",COL
"Atlético Nacional","Andrés Román","{{bandera|COL}} [[Andrés Román]]",COL
"Atlético Nacional","William Tesillo","{{bandera|COL}} [[William Tesillo]]",COL
"Atlético Nacional","Andrés Salazar","{{bandera|COL}} [[Andrés Salazar Osorio|Andrés Salazar]]",COL
"Atlético Nacional","Juan José Arias","{{bandera|COL}} [[Juan José Arias]]",COL
"Atlético Nacional","Simón García","{{bandera|COL}} [[Simón García Valero|Simón García]]",COL
"Atlético Nacional","Royer Caicedo","{{bandera|COL}} [[Royer Caicedo]]",COL
"Atlético Nacional","Cristian Uribe","{{bandera|COL}} [[Cristian Uribe Uribe|Cristian Uribe]]",COL
"Atlético Nacional","Samuel Velásquez","{{bandera|COL}} [[Samuel Velásquez]]",COL
"Atlético Nacional","Milton Casco","{{bandera|ARG}} [[Milton Casco]]",ARG
"Atlético Nacional","Mateus Uribe","{{bandera|COL}} [[Mateus Uribe]]",COL
"Atlético Nacional","Edwin Cardona","{{bandera|COL}} [[Edwin Cardona]]",COL
"Atlético Nacional","Jorman Campuzano","{{bandera|COL}} [[Jorman Campuzano]]",COL
"Atlético Nacional","Elkin Rivero","{{bandera|COL}} [[Elkin Rivero]]",COL
"Atlético Nacional","Juan Bauza","{{bandera|ARG}} [[Juan Bauza]]",ARG
"Atlético Nacional","Luis Landázuri","{{bandera|COL}} [[Luis Miguel Landázuri|Luis Landázuri]]",COL
"Atlético Nacional","Juan Rengifo","{{bandera|COL}} [[Juan Manuel Rengifo|Juan Rengifo]]",COL
"Atlético Nacional","Juan Zapata","{{bandera|COL}} [[Juan Zapata Zumaque|Juan Zapata]]",COL
"Atlético Nacional","Marlos Moreno","{{bandera|COL}} [[Marlos Moreno]]",COL
"Atlético Nacional","Alfredo Morelos","{{bandera|COL}} [[Alfredo Morelos]]",COL
"Atlético Nacional","Marino Hinestroza","{{bandera|COL}} [[Marino Hinestroza]]",COL
"Atlético Nacional","Dairon Asprilla","{{bandera|COL}} [[Dairon Asprilla]]",COL
"Atlético Nacional","Andrés Sarmiento","{{bandera|COL}} [[Andrés de Jesús Sarmiento|Andrés Sarmiento]]",COL
"Atlético Nacional","Juan Rosa","{{bandera|COL}} [[Juan José Rosa|Juan Rosa]]",COL
"Atlético Nacional","Nico Rodríguez","{{bandera|COL}} [[Nico Rodríguez]]",COL
"Atlético Nacional","Eduard Bello","{{bandera|VEN}} [[Eduard Bello]]",VEN
"Atlético Nacional","Emilio Aristizábal","{{bandera|COL}} [[Emilio Aristizábal]]",COL
"Atlético Nacional","Jayder Asprilla","{{bandera|COL}} [[Jayder Asprilla]]",COL
"Boyacá Chicó","Rogerio Caicedo","{{bandera|COL}} [[Rogerio Caicedo]]",COL
"Boyacá Chicó","Brandonn Zapata","{{bandera|COL}} [[Brandonn Stict Zapata Aponzá|Brandonn Zapata]]",COL
"Boyacá Chicó","Emiliano Denis","{{bandera|URU}} [[Emiliano Denis|Darío Denis]]",URU
"Boyacá Chicó","Anyelo Saldaña","{{bandera|COL}} [[Anyelo Saldaña]]",COL
"Boyacá Chicó","Yaliston Martínez","{{bandera|COL}} [[Yaliston Martínez]]",COL
"Boyacá Chicó","Jaime Díaz","{{bandera|COL}} [[Jaime Díaz Montes|Jaime Díaz]]",COL
"Boyacá Chicó","Arlen Banguero","{{bandera|COL}} [[Arlen Banguero]]",COL
"Boyacá Chicó","Juan Palma","{{bandera|COL}} [[Juan Sebastian Palma|Juan Palma]]",COL
"Boyacá Chicó","Kevin Angulo","{{bandera|COL}} [[Kevin Angulo]]",COL
"Boyacá Chicó","Abdid Muñoz","{{bandera|COL}} [[Abdid Muñoz]]",COL
"Boyacá Chicó","Yael López","{{bandera|COL}} [[Yael López]]",COL
"Boyacá Chicó","Jesús Campo","{{bandera|COL}} [[Jesús Campo]]",COL
"Boyacá Chicó","Camilo Quiceno","{{bandera|COL}} [[Juan Camilo Quiceno|Camilo Quiceno]]",COL
"Boyacá Chicó","Jhonny Jordán","{{bandera|COL}} [[Jhonny Jordán]]",COL
"Boyacá Chicó","Andrés Aedo","{{bandera|COL}} [[Andrés Aedo]]",COL
"Boyacá Chicó","Sebastián Salazar","{{bandera|COL}} [[Sebastián Salazar (futbolista)|Sebastián Salazar]]",COL
"Boyacá Chicó","Delio Ramírez","{{bandera|COL}} [[Delio Angel Ramírez|Delio Ramírez]]",COL
"Boyacá Chicó","Jeison Mena","{{bandera|COL}} [[Jeison Mena Victoria|Jeison Mena]]",COL
"Boyacá Chicó","Nicolás Valencia","{{bandera|CHL}} [[Nicolás Anelka Valencia|Nicolás Valencia]]",CHL
"Boyacá Chicó","Kevin Londoño","{{bandera|COL}} [[Kevin Andrey Londoño|Kevin Londoño]]",COL
"Boyacá Chicó","Juan Díaz","{{bandera|COL}} [[Juan Carlos Díaz|Juan Díaz]]",COL
"Boyacá Chicó","Juan Marcelin","{{bandera|COL}} [[Juan Marcelin]]",COL
"Boyacá Chicó","Kevin Salazar","{{bandera|COL}} [[Kevin Salazar Ruiz|Kevin Salazar]]",COL
"Boyacá Chicó","Sebastián Ostos","{{bandera|COL}} [[Juan Sebastian Ostos|Sebastián Ostos]]",COL
"Boyacá Chicó","Eric Krame","{{bandera|URU}} [[Eric Krame]]",URU
"Boyacá Chicó","Ítalo Montaño","{{bandera|COL}} [[Ítalo Montaño]]",COL
"Boyacá Chicó","Jairo Molina","{{bandera|COL}} [[Jairo Molina]]",COL
"Boyacá Chicó","Jacobo Pimentel","{{bandera|COL}} [[Jacobo Pimentel]]",COL
"Boyacá Chicó","Luis Segura","{{bandera|COL}} [[Luis Carlos Segura|Luis Segura]]",COL
"Cúcuta Deportivo","Juan David Ramírez","{{bandera|COL}} [[Juan David Ramirez]]",COL
"Cúcuta Deportivo","Federico Abadía","{{bandera|ARG}} [[Federico Abadía]]",ARG
"Cúcuta Deportivo","Armando Ballesteros","{{bandera|COL}} [[Armando Ballesteros]]",COL
"Cúcuta Deportivo","Diego Calcaterra","{{bandera|ARG}} [[Diego Calcaterra]]",ARG
"Cúcuta Deportivo","Jhon Quiñones","{{bandera|COL}} [[Jhon Alexander Quiñones]]",COL
"Cúcuta Deportivo","Sebastián Rodríguez","{{bandera|COL}} [[Sebastián Rodríguez Córdoba|Sebastián Rodríguez]]",COL
"Cúcuta Deportivo","Alexander Borja","{{bandera|COL}} [[Alexander Borja Cordoba|Alexander Borja]]",COL
"Cúcuta Deportivo","Mauricio Duarte","{{bandera|COL}} [[Mauricio Duarte]]",COL
"Cúcuta Deportivo","Brayan Montaño","{{bandera|COL}} [[Brayan Montaño]]",COL
"Cúcuta Deportivo","Manuel Carmona","{{bandera|USA}} [[Manuel Carmona]]",USA
"Cúcuta Deportivo","Víctor Mejía","{{bandera|COL}} [[Víctor Mejía]]",COL
"Cúcuta Deportivo","Santiago Orozco","{{bandera|COL}} [[Santiago Orozco]]",COL
"Cúcuta Deportivo","Léider Berdugo","{{bandera|COL}} [[Léider Berdugo]]",COL
"Cúcuta Deportivo","Diego Ceballos","{{bandera|COL}} [[Juan Diego Ceballos|Diego Ceballos]]",COL
"Cúcuta Deportivo","Jhonatan González","{{bandera|COL}} [[Jhonatan González]]",COL
"Cúcuta Deportivo","Lucas Ríos","{{bandera|ARG}} [[Lucas Ríos]]",ARG
"Cúcuta Deportivo","Sebastián Támara","{{bandera|COL}} [[Sebastián Támara]]",COL
"Cúcuta Deportivo","Agustín Cano","{{bandera|COL}} [[Agustín Cano]]",COL
"Cúcuta Deportivo","Felipe Gómez","{{bandera|COL}} [[Felipe Gómez Londoño|Felipe Gómez]]",COL
"Cúcuta Deportivo","Jaime Peralta","{{bandera|COL}} [[Jaime Andres Peralta|Jaime Peralta]]",COL
"Cúcuta Deportivo","Luifer Hernández","{{bandera|VEN}} [[Luifer Hernández]]",VEN
"Cúcuta Deportivo","Eduar Arizalas","{{bandera|COL}} [[Eduar Arizalas]]",COL
"Cúcuta Deportivo","Jhon Valencia","{{bandera|COL}} [[Jhon Alexander Valencia|Jhon Valencia]]",COL
"Cúcuta Deportivo","Jonathan Agudelo","{{bandera|COL}} [[Jonathan Agudelo]]",COL
"Cúcuta Deportivo","Cristian Córdoba","{{bandera|COL}} [[Cristian Córdoba]]",COL
"Deportes Tolima","John Azcarate","{{bandera|COL}} [[John Azcarate]]",COL
"Deportes Tolima","Gali José Balanta","{{bandera|COL}} [[Gali José Balanta]]",COL
"Deportes Tolima","Neto Volpi","{{bandera|BRA}} [[Neto Volpi]]",BRA
"Deportes Tolima","Luis Marquinez","{{bandera|COL}} [[Luis Marquinez]]",COL
"Deportes Tolima","Anderson Angulo","{{bandera|COL}} [[Anderson Angulo]]",COL
"Deportes Tolima","Jan Carlos Angulo","{{bandera|COL}} [[Juan Carlos Angulo]]",COL
"Deportes Tolima","Juan José Mera","{{bandera|COL}} [[Juan José Mera]]",COL
"Deportes Tolima","Cristian Arrieta","{{bandera|COL}} [[Cristian Arrieta]]",COL
"Deportes Tolima","Junior Hernández","{{bandera|COL}} [[Junior Hernández]]",COL
"Deportes Tolima","Yhorman Hurtado","{{bandera|COL}} [[Yhorman Hurtado]]",COL
"Deportes Tolima","Michael Stiven Martinez","{{bandera|COL}} [[Michael Stiven Martinez]]",COL
"Deportes Tolima","Shean Paul Barbosa","{{bandera|COL}} [[Shean Paul Barbosa]]",COL
"Deportes Tolima","Cristian Trujillo","{{bandera|COL}} [[Cristian Trujillo]]",COL
"Deportes Tolima","Juan Pablo Torres","{{bandera|COL}} [[Juan Pablo Torres Patiño|Juan Pablo Torres]]",COL
"Deportes Tolima","Elan Joseph Ricardo","{{bandera|BRA}} [[Elan Joseph Ricardo]]",BRA
"Deportes Tolima","Juan Nieto","{{bandera|COL}} [[Juan Pablo Nieto]]",COL
"Deportes Tolima","Víctor Manuel Reyes","{{bandera|COL}} [[Víctor Manuel Reyes]]",COL
"Deportes Tolima","Sebastián Guzmán","{{bandera|COL}} [[Sebastián Felipe Guzmán|Sebastián Guzmán]]",COL
"Deportes Tolima","Bryan Rovira","{{bandera|CHL}} [[Bryan Rovira]]",CHL
"Deportes Tolima","Luis Miguel Landázuri","{{bandera|COL}} [[Luis Miguel Landázuri]]",COL
"Deportes Tolima","Juan Torres","{{bandera|COL}} [[Juan Pablo Torres Patiño|Juan Torres]]",COL
"Deportes Tolima","Elan Ricardo","{{bandera|COL}} [[Elan Ricardo]]",COL
"Deportes Tolima","Jersson González","{{bandera|COL}} [[Jersson González Niño|Jersson González]]",COL
"Deportes Tolima","Ever Valencia","{{bandera|COL}} [[Ever Valencia]]",COL
"Deportes Tolima","Luis Sandoval","{{bandera|COL}} [[Luis Fernando Sandoval|Luis Sandoval]]",COL
"Deportes Tolima","Gonzalo Lencina","{{bandera|ARG}} [[Gonzalo Lencina]]",ARG
"Deportes Tolima","Kelvin Flórez","{{bandera|COL}} [[Kelvin Flórez]]",COL
"Deportes Tolima","Adrián Parra","{{bandera|COL}} [[Adrián Parra]]",COL
"Deportes Tolima","Jeinner Fuentes","{{bandera|COL}} [[Jeinner Fuentes]]",COL
"Deportes Tolima","Edwar López","{{bandera|COL}} [[Edwar López]]",COL
"Deportes Tolima","Yoimar Moreno","{{bandera|COL}} [[Yoimar Moreno]]",COL
"Deportivo Cali","Pedro Gallese","{{bandera|PER}} [[Pedro Gallese]]",PER
"Deportivo Cali","Miguel Sánchez","{{bandera|COL}} [[Miguel Angel Sánchez|Miguel Sánchez]]",COL
"Deportivo Cali","Alejandro Rojo","{{bandera|ESP}} [[Alejandro Rojo]]",ESP
"Deportivo Cali","Marco Espíndola","{{bandera|COL}} [[Marco Espíndola]]",COL
"Deportivo Cali","Felipe Aguilar","{{bandera|COL}} [[Felipe Aguilar Mendoza|Felipe Aguilar]]",COL
"Deportivo Cali","Andrés Correa","{{bandera|COL}} [[Andrés Correa]]",COL
"Deportivo Cali","Fernando Álvarez","{{bandera|USA}} [[Fernando Álvarez (futbolista colombiano)|Fernando Álvarez]]",USA
"Deportivo Cali","José Caldera","{{bandera|COL}} [[José Caldera]]",COL
"Deportivo Cali","Julián Quiñones","{{bandera|COL}} [[Julián Alveiro Quiñones|Julián Quiñones]]",COL
"Deportivo Cali","Juan Jose Tello","{{bandera|COL}} [[Juan Jose Tello]]",COL
"Deportivo Cali","Fabián Viáfara","{{bandera|COL}} [[Fabián Viáfara]]",COL
"Deportivo Cali","Luis Manuel Orejuela","{{bandera|COL}} [[Luis Manuel Orejuela]]",COL
"Deportivo Cali","Mateo Benitez","{{bandera|COL}} [[Mateo Benitez]]",COL
"Deportivo Cali","Brait Garcia","{{bandera|COL}} [[Brait Garcia]]",COL
"Deportivo Cali","Ronaldo Pajaro","{{bandera|COL}} [[Ronaldo Pajaro]]",COL
"Deportivo Cali","Daniel Giraldo","{{bandera|COL}} [[Daniel Giraldo]]",COL
"Deportivo Cali","Emanuel Reynoso","{{bandera|ARG}} [[Emanuel Reynoso]]",ARG
"Deportivo Cali","Yani Quintero","{{bandera|COL}} [[Yani Quintero]]",COL
"Deportivo Cali","Javier Mena","{{bandera|COL}} [[Javier Mena]]",COL
"Deportivo Cali","Johan Martínez","{{bandera|COL}} [[Johan Martínez]]",COL
"Deportivo Cali","Santiago Colonia","{{bandera|USA}} [[Santiago Colonia]]",USA
"Deportivo Cali","Andrés Colorado","{{bandera|COL}} [[Andrés Colorado]]",COL
"Deportivo Cali","Matias Orozco","{{bandera|COL}} [[Matias Orozco]]",COL
"Deportivo Cali","Juan Jose Montoya","{{bandera|COL}} [[Juan Jose Montoya]]",COL
"Deportivo Cali","Santiago Martinez","{{bandera|COL}} [[Santiago Martinez]]",COL
"Deportivo Cali","Juan Ignacio Dinenno","{{bandera|ARG}} [[Juan Ignacio Dinenno]]",ARG
"Deportivo Cali","Michael Aponzá","{{bandera|COL}} [[Jhon Michael Aponzá|Michael Aponzá]]",COL
"Deportivo Cali","Juan Manuel Arango","{{bandera|COL}} [[Juan Manuel Arango]]",COL
"Deportivo Cali","Avilés Hurtado","{{bandera|COL}} [[Avilés Hurtado]]",COL
"Deportivo Cali","Steven Rodríguez","{{bandera|COL}} [[Andrés Steven Rodríguez|Steven Rodríguez]]",COL
"Deportivo Cali","Jean Galindo","{{bandera|COL}} [[Jean Galindo]]",COL
"Deportivo Cali","Jhon Cabal","{{bandera|COL}} [[Jhon Cabal]]",COL
